Moeda,Data Entrada,Data Saída,Entrada,Saída,Lucro (%),RSI,EMA_diff,MACD_diff,Volume_relativo,BB_position
ETH/USDT,2025-03-03 18:00:00,2025-03-04 01:00:00,2193.43,2056.54,-6.24,28.377831013526418,-0.054747825907144075,-24.743811495530437,1.8886069553343408,-0.05840384430802403
ETH/USDT,2025-03-04 17:00:00,2025-03-09 22:00:00,2118.64,2010.02,-5.13,46.68689477800858,0.009684838925630584,9.710308920153487,1.5596825287077054,0.7135212246749089
ETH/USDT,2025-03-10 09:00:00,2025-03-10 17:00:00,2101.85,1917.5,-8.77,55.02084192170711,0.0160400466130581,9.822376695893603,2.5708839576555667,0.9186849664947077
ETH/USDT,2025-03-10 18:00:00,2025-03-19 11:00:00,1825.05,2028.14,11.13,18.875372776222804,-0.09316613197553877,-20.657762757675588,2.1020343420600183,-0.3040040457849745
ETH/USDT,2025-03-19 12:00:00,2025-03-28 11:00:00,2003.97,1900.57,-5.16,69.39547575405803,0.024630065788548164,8.660633266633383,1.4047110435091246,0.9985710113900891
