Moeda,Data Entrada,Data Saída,Entrada,Saída,Lucro (%),RSI,EMA_diff,MACD_diff,Volume_relativo,BB_position
BTC/USDT,2025-03-31 12:00:00,2025-04-06 22:00:00,82769.7,78066.9,-5.68,56.58656463085519,0.007502424725464837,91.113403881648,1.3639328302229334,0.928254714990239
BTC/USDT,2025-04-07 06:00:00,2025-04-09 19:00:00,74807.1,82322.9,10.05,17.182198393812527,-0.044701783858862816,-345.0282240450074,1.8850436641099146,-0.02814727583430285
BTC/USDT,2025-04-11 08:00:00,2025-04-22 13:00:00,81621.8,90226.9,10.54,60.78775768749514,0.011460303800562227,176.49939017758007,2.1695333839177517,0.9345607140912489
BTC/USDT,2025-04-22 14:00:00,2025-05-08 15:00:00,90800.1,100760.3,10.97,81.06968244879228,0.021900814494583743,187.91050992854434,2.0901830223867135,1.1976400943065144
ETH/USDT,2025-03-30 13:00:00,2025-04-06 17:00:00,1806.36,1684.8,-6.73,32.164572651970886,-0.01430813783736425,0.24080025280435535,2.91339801550804,-0.08531736510695051
ETH/USDT,2025-04-06 18:00:00,2025-04-07 06:00:00,1618.26,1431.02,-11.57,13.947032408393355,-0.07224599684414408,-15.724622963156854,4.826241740265284,-0.32284439172216883
ETH/USDT,2025-04-07 13:00:00,2025-04-08 19:00:00,1550.47,1466.96,-5.39,44.20267926977873,0.011619718024596482,7.642228959705079,1.8426800689532563,0.5340867350285351
ETH/USDT,2025-04-09 07:00:00,2025-04-09 17:00:00,1483.39,1632.62,10.06,47.46143795251804,0.010355737413312867,3.0847361678570024,1.3227193950456835,0.5215230651404302
ETH/USDT,2025-04-09 18:00:00,2025-04-10 15:00:00,1627.9,1496.0,-8.1,72.08994912125661,0.07414247428643357,20.90007161227023,1.6447941655816958,1.17492667216244
ETH/USDT,2025-04-11 08:00:00,2025-04-22 21:00:00,1551.28,1753.83,13.06,51.024081765698895,0.0043937996328743765,4.030330839617811,1.1389323477465052,0.7218811453426938
ETH/USDT,2025-04-23 01:00:00,2025-05-08 09:00:00,1762.3,1941.09,10.15,77.6337092968387,0.029677427885109818,8.024525468888339,1.142747357134832,0.8789348858745746
ETH/USDT,2025-05-08 10:00:00,2025-05-08 20:00:00,1961.11,2185.49,11.44,81.57463535098245,0.035806723120627285,12.254999007590943,1.2649305612255224,0.969807867495057
SOL/USDT,2025-03-30 18:00:00,2025-04-02 22:00:00,126.197,118.682,-5.95,53.97185913731443,0.00922068786258503,0.0962392803689554,2.077125179447163,0.7922168353129478
SOL/USDT,2025-04-02 23:00:00,2025-04-06 17:00:00,117.417,111.416,-5.11,28.225641010004395,-0.06392588923605756,-1.0496994202341503,1.0744314849177294,-0.11371187232787903
SOL/USDT,2025-04-06 18:00:00,2025-04-07 05:00:00,107.628,101.953,-5.27,16.068414226160215,-0.06614835198392062,-1.045729177632975,4.012297749788109,-0.22627769266029454
SOL/USDT,2025-04-07 06:00:00,2025-04-07 14:00:00,97.135,107.484,10.65,16.526416082720417,-0.0797548871970918,-0.7627860187131397,2.477560356262205,-0.013245616885794773
SOL/USDT,2025-04-07 15:00:00,2025-04-09 17:00:00,106.655,119.35,11.9,50.97888658921063,0.023913649178401063,1.198883030810892,1.0262151153314658,0.7377277830211446
SOL/USDT,2025-04-09 18:00:00,2025-04-10 15:00:00,117.666,109.589,-6.86,71.60233416901697,0.07780194365145886,1.418905079068115,2.0262741028431224,1.1562396527012975
SOL/USDT,2025-04-11 03:00:00,2025-04-12 13:00:00,115.415,128.594,11.42,61.076852336061954,0.01888928207573437,0.26719927618230965,1.0777229389052454,0.8931006230527406
SOL/USDT,2025-04-12 14:00:00,2025-04-22 14:00:00,130.615,144.176,10.38,83.3210177757181,0.04603014502406072,0.5539557886426913,1.7341327554055048,1.171330034562426
SOL/USDT,2025-04-22 15:00:00,2025-05-08 15:00:00,145.32,160.231,10.26,74.51654216711458,0.029380802336590912,0.6766216734318732,1.63021147888412,1.0964934395919754
