Moeda,Data Entrada,Data Saída,Entrada,Saída,Lucro (%),RSI,EMA_diff,MACD_diff,Volume_relativo,BB_position
BTC/USDT,2025-03-31 12:00:00,2025-04-06 22:00:00,82769.7,78066.9,-5.68,56.58656463085519,0.0075024247254648,91.113403881648,1.3639328302229334,0.928254714990239
BTC/USDT,2025-04-07 06:00:00,2025-04-09 19:00:00,74807.1,82322.9,10.05,17.182198393812527,-0.0447017838588628,-345.0282240450074,1.8850436641099144,-0.0281472758343028
BTC/USDT,2025-04-11 08:00:00,2025-04-22 13:00:00,81621.8,90226.9,10.54,60.78775768749514,0.0114603038005622,176.49939017758007,2.169533383917752,0.9345607140912487
BTC/USDT,2025-04-22 14:00:00,2025-05-08 15:00:00,90800.1,100760.3,10.97,81.06968244879228,0.0219008144945837,187.91050992854437,2.090183022386713,1.1976400943065144
ETH/USDT,2025-03-30 13:00:00,2025-04-06 17:00:00,1806.36,1684.8,-6.73,32.164572651970886,-0.0143081378373642,0.2408002528043553,2.91339801550804,-0.0853173651069505
ETH/USDT,2025-04-06 18:00:00,2025-04-07 06:00:00,1618.26,1431.02,-11.57,13.947032408393357,-0.072245996844144,-15.724622963156854,4.826241740265284,-0.3228443917221688
ETH/USDT,2025-04-07 13:00:00,2025-04-08 19:00:00,1550.47,1466.96,-5.39,44.20267926977873,0.0116197180245964,7.642228959705079,1.8426800689532563,0.5340867350285351
ETH/USDT,2025-04-09 07:00:00,2025-04-09 17:00:00,1483.39,1632.62,10.06,47.46143795251804,0.0103557374133128,3.0847361678570024,1.3227193950456837,0.5215230651404302
ETH/USDT,2025-04-09 18:00:00,2025-04-10 15:00:00,1627.9,1496.0,-8.1,72.08994912125661,0.0741424742864335,20.90007161227023,1.6447941655816958,1.17492667216244
ETH/USDT,2025-04-11 08:00:00,2025-04-22 21:00:00,1551.28,1753.83,13.06,51.024081765698895,0.0043937996328743,4.030330839617811,1.1389323477465052,0.7218811453426938
ETH/USDT,2025-04-23 01:00:00,2025-05-08 09:00:00,1762.3,1941.09,10.15,77.6337092968387,0.0296774278851098,8.024525468888339,1.142747357134832,0.8789348858745746
ETH/USDT,2025-05-08 10:00:00,2025-05-08 20:00:00,1961.11,2185.49,11.44,81.57463535098245,0.0358067231206272,12.254999007590945,1.2649305612255224,0.969807867495057
SOL/USDT,2025-03-30 18:00:00,2025-04-02 22:00:00,126.197,118.682,-5.95,53.97185913731443,0.009220687862585,0.0962392803689554,2.077125179447163,0.7922168353129478
SOL/USDT,2025-04-02 23:00:00,2025-04-06 17:00:00,117.417,111.416,-5.11,28.225641010004395,-0.0639258892360575,-1.0496994202341503,1.0744314849177294,-0.113711872327879
